128, 100, 0.166667,
256, 100, 0.285717,
512, 100, 0.571449,
1024, 100, 0.888937,
2048, 100, 1.77819,
4096, 100, 2.46232,
8192, 100, 4.9295,
16384, 100, 6.10508,
128, 200, 0.181819,
256, 200, 0.333336,
512, 200, 0.666694,
1024, 200, 1.14294,
2048, 200, 2.28639,
4096, 200, 3.55719,
8192, 200, 7.12451,
16384, 200, 9.87186,
128, 300, 0.187501,
256, 300, 0.352945,
512, 300, 0.705913,
1024, 300, 1.26326,
2048, 300, 2.52714,
4096, 300, 4.17616,
8192, 300, 8.3663,
16384, 300, 12.4278,
128, 400, 0.190477,
256, 400, 0.36364,
512, 400, 0.727305,
1024, 400, 1.33344,
2048, 400, 2.66758,
4096, 400, 4.57412,
8192, 400, 9.16502,
16384, 400, 14.2759,
128, 500, 0.192309,
256, 500, 0.370374,
512, 500, 0.740773,
1024, 500, 1.37942,
2048, 500, 2.75959,
4096, 500, 4.85148,
8192, 500, 9.72184,
16384, 500, 15.6743,
128, 600, 0.193549,
256, 600, 0.375004,
512, 600, 0.750034,
1024, 600, 1.41189,
2048, 600, 2.82456,
4096, 600, 5.05592,
8192, 600, 10.1323,
16384, 600, 16.7697,
128, 700, 0.194445,
256, 700, 0.378382,
512, 700, 0.75679,
1024, 700, 1.43602,
2048, 700, 2.87285,
4096, 700, 5.21276,
8192, 700, 10.4471,
16384, 700, 17.6499,
128, 800, 0.195123,
256, 800, 0.380956,
512, 800, 0.76194,
1024, 800, 1.45467,
2048, 800, 2.91018,
4096, 800, 5.337,
8192, 800, 10.6968,
16384, 800, 18.3746,
128, 900, 0.195653,
256, 900, 0.382983,
512, 900, 0.765993,
1024, 900, 1.46952,
2048, 900, 2.93989,
4096, 900, 5.43777,
8192, 900, 10.8993,
16384, 900, 18.98,
128, 1000, 0.196079,
256, 1000, 0.384619,
512, 1000, 0.769266,
1024, 1000, 1.48161,
2048, 1000, 2.96409,
4096, 1000, 5.52115,
8192, 1000, 11.0665,
16384, 1000, 19.4932,
