128, 100, 0.166667,
256, 100, 0.285714,
512, 100, 0.571429,
1024, 100, 0.888889,
2048, 100, 1.77778,
4096, 100, 2.46154,
8192, 100, 4.92308,
16384, 100, 6.09524,
128, 200, 0.181818,
256, 200, 0.333333,
512, 200, 0.666667,
1024, 200, 1.14286,
2048, 200, 2.28571,
4096, 200, 3.55556,
8192, 200, 7.11111,
16384, 200, 9.84615,
128, 300, 0.1875,
256, 300, 0.352941,
512, 300, 0.705882,
1024, 300, 1.26316,
2048, 300, 2.52632,
4096, 300, 4.17391,
8192, 300, 8.34783,
16384, 300, 12.3871,
128, 400, 0.190476,
256, 400, 0.363636,
512, 400, 0.727273,
1024, 400, 1.33333,
2048, 400, 2.66667,
4096, 400, 4.57143,
8192, 400, 9.14286,
16384, 400, 14.2222,
128, 500, 0.192308,
256, 500, 0.37037,
512, 500, 0.740739,
1024, 500, 1.37931,
2048, 500, 2.75861,
4096, 500, 4.84845,
8192, 500, 9.69691,
16384, 500, 15.6096,
128, 600, 0.193548,
256, 600, 0.375,
512, 600, 0.75,
1024, 600, 1.41176,
2048, 600, 2.82353,
4096, 600, 5.05263,
8192, 600, 10.1053,
16384, 600, 16.6957,
128, 700, 0.194444,
256, 700, 0.378378,
512, 700, 0.756755,
1024, 700, 1.43589,
2048, 700, 2.87178,
4096, 700, 5.20926,
8192, 700, 10.4183,
16384, 700, 17.5679,
128, 800, 0.195122,
256, 800, 0.380952,
512, 800, 0.761905,
1024, 800, 1.45455,
2048, 800, 2.90909,
4096, 800, 5.33333,
8192, 800, 10.6667,
16384, 800, 18.2857,
128, 900, 0.195652,
256, 900, 0.382979,
512, 900, 0.765957,
1024, 900, 1.46939,
2048, 900, 2.93878,
4096, 900, 5.43396,
8192, 900, 10.8679,
16384, 900, 18.8852,
128, 1000, 0.196078,
256, 1000, 0.384615,
512, 1000, 0.76923,
1024, 1000, 1.48148,
2048, 1000, 2.96296,
4096, 1000, 5.51722,
8192, 1000, 11.0342,
16384, 1000, 19.3932,
